Release date,Season,Episode,Title,Duration in minutes,U.S. viewers,IMDB Rating,Director
08-Oct-14,1,1,Set Yourself on Fire,56,497000,8.1,Adam Davidson
15-Oct-14,1,2,Glass Eye,47,368000,7.8,Adam Davidson
22-Oct-14,1,3,Piece of Plastic,48,353000,8.1,Michael Morris
29-Oct-14,1,4,Flowers,47,373000,8.3,Michael Morris
05-Nov-14,1,5,Eat Your Own Cooking,53,330000,8.2,Gary Fleder
12-Nov-14,1,6,Please Refrain from Crying,47,321000,8.4,Gary Fleder
19-Nov-14,1,7,Animator/Annihilator,47,346000,8.6,Dennie Gordon
26-Nov-14,1,8,The Gentle Slope,47,304000,8.1,Dennie Gordon
03-Dec-14,1,9,Cut Day,47,348000,8.4,Tim lacofano
10-Dec-14,1,10,King Beast,50,363000,8.9,Tim lacofano
14-Oct-15,2,11,New Money,48,282000,8.1,Craig Zisk
21-Oct-15,2,12,Simulations,48,290000,8,Craig Zisk
28-Oct-15,2,13,Broken or Missing,47,266000,8.3,Michael Morris
04-Nov-15,2,14,Be First,47,278000,7.9,Michael Morris
11-Nov-15,2,15,Happy Hour,47,256000,8.3,Gary Fleder
18-Nov-15,2,16,Pink at Night,49,242000,8,Gary Fleder
25-Nov-15,2,17,The Demon had a Spell,51,249000,8,Michael Morris
02-Dec-15,2,18,Smoker,47,289000,8.6,Michael Morris
09-Dec-15,2,19,Living Down,47,289000,9,Sidney Sidell
16-Dec-15,2,20,Traveling Alone,50,334000,9.2,Sidney Sidell
01-Jun-16,2,21,Lay and Pray,46,291000,8.7,Gary Fleder
08-Jun-16,2,22,No Fault,44,257000,8.3,Gary Fleder
15-Jun-16,2,23,Woke Up Lonely,53,251000,9,John Dahl
22-Jun-16,2,24,Do Not Disturb,45,226000,8.3,John Dahl
29-Jun-16,2,25,Take Pills,47,221000,8.2,Padraic McKinley
06-Jul-16,2,26,Halos,47,229000,8.6,Padraic McKinley
13-Jul-16,2,27,Help Wanted,44,251000,8.3,Dennie Gordon
20-Jul-16,2,28,Cut Man,44,226000,8.6,Dennie Gordon
27-Jul-16,2,29,Late to Leave,53,328000,9.2,Byron Balasco
03-Aug-16,2,30,No Sharp Objects,52,273000,8.9,Byron Balasco
31-May-17,3,31,Wolf Tickets,46,242000,8.1,Byron Balasco
07-Jun-17,3,32,Ritual,50,202000,8,Byron Balasco
14-Jun-17,3,33,"Thank You, Boys",48,227000,8.2,Byron Balasco
21-Jun-17,3,34,Headhunter,53,196000,8.3,Byron Balasco
28-Jun-17,3,35,Please Give,51,229000,8.6,Enzo Mileti & Steve Turner
05-Jul-17,3,36,All Talk,48,195000,8.4,Jennifer Ames & Steve Turner
12-Jul-17,3,37,Platinum Level,46,193000,8.3,Jon Frye
19-Jul-17,3,38,Old Pueblo,49,204000,8.3,Byron Balasco
26-Jul-17,3,39,Cactus,48,459000,9.4,Byron Balasco
02-Aug-17,3,40,Lie Down in the Light,56,611000,9.6,Byron Balasco
